top - 17:59:55 up 5 days,  7:05,  1 user,  load average: 3.55, 3.92, 4.01
Tasks: 474 total,   2 running, 472 sleeping,   0 stopped,   0 zombie
%Cpu(s): 28.4 us, 13.6 sy,  0.0 ni, 58.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15900.2 total,    284.0 free,  10360.2 used,   5255.9 buff/cache
MiB Swap:   2048.0 total,    777.9 free,   1270.1 used.   3786.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  17271 nishant+  20   0 1129.9g 190948 112640 S   0.0   1.2   0:40.62 chrome
  17288 nishant+  20   0 1130.9g 185396 109528 S   0.0   1.1   0:47.12 chrome
  17307 nishant+  20   0 1129.9g 144808 107636 S   0.0   0.9   0:13.56 chrome
  17329 nishant+  20   0 1129.9g 212960 110684 S   0.0   1.3   1:32.36 chrome
  17344 nishant+  20   0 1129.9g 185416 111036 S   0.0   1.1   0:44.63 chrome
  17356 nishant+  20   0 1129.9g 163252 118172 S   0.0   1.0   9:28.46 chrome
  17375 nishant+  20   0   32.6g  86004  73968 S   0.0   0.5  23:51.66 chrome
  17427 nishant+  20   0 1129.9g 161888 109872 S   0.0   1.0   0:32.10 chrome
  17460 nishant+  20   0 1129.9g 202084 115492 S   0.0   1.2   2:45.28 chrome
  17713 nishant+  20   0 1129.9g 173932 107152 S   0.0   1.1   0:49.14 chrome
  17761 nishant+  20   0 1129.9g 160788 110092 S   0.0   1.0   0:37.20 chrome
  18351 nishant+  20   0 1129.9g 163464 105348 S   0.0   1.0   0:25.59 chrome
  18368 nishant+  20   0 1129.9g 162800 106696 S   0.0   1.0   0:28.64 chrome
  19492 nishant+  20   0  908008  58592  33188 S   0.0   0.4   2:43.05 gnome-t+
  20179 nishant+  20   0 1129.9g 209072 114336 S   0.0   1.3   3:08.46 chrome
  20203 nishant+  20   0 1130.9g 260012 113052 S   0.0   1.6   8:11.21 chrome
  20255 nishant+  20   0 1130.9g 160712 115292 S   0.0   1.0   0:30.45 chrome
  20701 root      20   0  114172   7292   6580 S   0.0   0.0   0:31.72 contain+
  20723 root      20   0  620504   8792   3152 S   0.0   0.1   0:32.10 node
  27248 nishant+  20   0 1129.9g 154260 107084 S   0.0   0.9   0:18.69 chrome
  27560 nishant+  20   0 1129.9g 152108 111992 S   0.0   0.9   0:43.66 chrome
  28105 nishant+  20   0 1130.0g 205420 121656 S   0.0   1.3   4:29.19 chrome
  28125 nishant+  20   0 1129.9g 121340  91428 S   0.0   0.7   0:09.24 chrome
  28143 nishant+  20   0 1129.9g 144832 100788 S   0.0   0.9   0:24.50 chrome
  28179 nishant+  20   0 1129.9g 144596 109692 S   0.0   0.9   1:07.32 chrome
  28306 nishant+  20   0 1129.9g 180708 111424 S   0.0   1.1   0:48.00 chrome
  34827 root      20   0  114108   7476   6812 S   0.0   0.0   0:20.66 contain+
  34848 root      20   0    8936   4828   4100 S   0.0   0.0   0:00.03 nginx
  34901 systemd+  20   0    9324   2616   1448 S   0.0   0.0   0:00.00 nginx
  34902 systemd+  20   0    9324   2616   1448 S   0.0   0.0   0:00.00 nginx
  34903 systemd+  20   0    9324   2616   1448 S   0.0   0.0   0:00.00 nginx
  34904 systemd+  20   0    9324   2616   1448 S   0.0   0.0   0:00.00 nginx
  37772 root      20   0  114172   7452   6628 S   0.0   0.0   0:20.90 contain+
